канваль	{'Частота': 189}
тисар	{'Частота': 139}
ламонт	{'Частота': 129}
искин	{'Частота': 107}
сингариец	{'Частота': 83}
бронескаф	{'Частота': 55}
давино	{'Частота': 55}
наносеть	{'Частота': 54}
дроид	{'Частота': 45}
комбез	{'Частота': 44}
имплант	{'Частота': 42}
скаф	{'Частота': 32}
бластер	{'Частота': 31}
элдридж	{'Частота': 30}
мерсер	{'Частота': 30}
сеграст	{'Частота': 29}
гиперврат	{'Частота': 27}
маккинн	{'Частота': 25}
сингарийский	{'Частота': 24}
пармар	{'Частота': 24}
норн	{'Частота': 23}
импланта	{'Частота': 21}
гиперсвязь	{'Частота': 20}
сатлос	{'Частота': 20}
кэп	{'Частота': 19}
кхайя	{'Частота': 19}
техико	{'Частота': 19}
бринг	{'Частота': 18}
сингарийка	{'Частота': 18}
тисара	{'Частота': 17}
бэрн	{'Частота': 17}
дэянский	{'Частота': 16}
ду	{'Частота': 16}
метаморф	{'Частота': 15}
межсистемник	{'Частота': 15}
армакорп	{'Частота': 15}
медкапсула	{'Частота': 15}
берлиз	{'Частота': 15}
пармара	{'Частота': 15}
каанр	{'Частота': 14}
лакран	{'Частота': 14}
грузовоз	{'Частота': 14}
керратитовый	{'Частота': 13}
дрон	{'Частота': 13}
палмара	{'Частота': 13}
виамстернер	{'Частота': 13}
техварп	{'Частота': 12}
комбезе	{'Частота': 12}
зуз	{'Частота': 12}
гиперпереход	{'Частота': 11}
квейн	{'Частота': 11}
грави	{'Частота': 11}
хогга	{'Частота': 11}
бэрна	{'Частота': 11}
стерн	{'Частота': 11}
мда	{'Частота': 10}
тисарь	{'Частота': 10}
сингария	{'Частота': 10}
голоизображение	{'Частота': 10}
линковод	{'Частота': 9}
нанобот	{'Частота': 9}
дорасский	{'Частота': 9}
импульсник	{'Частота': 8}
короткостриженый	{'Частота': 8}
техно	{'Частота': 8}
ситойский	{'Частота': 8}
тариус	{'Частота': 8}
впечатлить	{'Частота': 7}
гиперпрыжок	{'Частота': 7}
сайконский	{'Частота': 7}
мидрад	{'Частота': 7}
сайкон	{'Частота': 6}
псионический	{'Частота': 6}
талайя	{'Частота': 6}
зеленоволосый	{'Частота': 6}
расфокусироваться	{'Частота': 6}
троттер	{'Частота': 6}
абордажник	{'Частота': 6}
Die	{'Частота': 6}
Waffen	{'Частота': 6}
legt	{'Частота': 6}
an	{'Частота': 6}
ролло	{'Частота': 5}
био	{'Частота': 5}
тахол	{'Частота': 5}
шаттлов	{'Частота': 5}
юнит	{'Частота': 5}
контрабордажный	{'Частота': 5}
медотсек	{'Частота': 5}
давный	{'Частота': 5}
шаттлы	{'Частота': 5}
хатан	{'Частота': 5}
впечатлевать	{'Частота': 5}
нейрокорп	{'Частота': 5}
кликать	{'Частота': 5}
пустотник	{'Частота': 5}
кибердок	{'Частота': 5}
каарн	{'Частота': 5}
дэянец	{'Частота': 5}
